Date/Time(UTC),System,Artifact,Path,Remarks,UserName,Event ID/SHA1
10-09-2021 08:59:19,ABC-DC1,Amcache,C:\share$\Psexec.exe,Sysinternal PsExec,,e50d9e3bd91908e13a26b3e23edeaf577fb3a095
10-09-2021 08:59:34,ABC-DC1,User Assist,C:\share$\S0.bat,Suspicious batch file,ABC\ABCadmin,
10-10-2021 08:04:30,ABC-DC1,Amcache,C:\Windows\PSEXESVC.exe,Sysinternal PsExec,,a17c21b909c56d93d978014e63fb06926eaea8e7
10-10-2021 08:04:30,ABC-DC1,Service Installation,C:\Windows\PSEXESVC.exe,Sysinternal PsExec,ABC\ABCadmin,A service was installed in the system. (7045)
10-10-2021 08:04:31,RDS,Service Installation,C:\Windows\PSEXESVC.exe,Sysinternal PsExec,ABC\ABCadmin,A service was installed in the system. (7045)
10-10-2021 08:04:51,ABC-DC2,Amcache,C:\Windows\PSEXESVC.exe,Sysinternal PsExec,,a17c21b909c56d93d978014e63fb06926eaea8e7
10-10-2021 08:04:51,ABC-DC2,Service Installation,C:\Windows\PSEXESVC.exe,Sysinternal PsExec,ABC\ABCadmin,A service was installed in the system. (7045)
10-10-2021 08:04:53,DDMS2,Service Installation,C:\Windows\PSEXESVC.exe,Sysinternal PsExec,ABC\ABCadmin,A service was installed in the system. (7045)
10-10-2021 08:04:54,ABC-DATA,Service Installation,C:\Windows\PSEXESVC.exe,Sysinternal PsExec,ABC\ABCadmin,A service was installed in the system. (7045)
10-10-2021 08:14:39,ABC-DC1,User Assist,C:\share$\Psexec.exe,Sysinternal PsExec,ABC\ABCadmin,
10-10-2021 08:14:43,ABC-DC1,User Assist,C:\share$\Servers0.bat,Suspicious batch file,ABC\ABCadmin,
10-10-2021 08:14:44,ABC-DC1,Amcache,C:\Windows\PSEXESVC.exe,Sysinternal PsExec,,a17c21b909c56d93d978014e63fb06926eaea8e7
10-10-2021 08:14:44,ABC-DC1,Service Installation,C:\Windows\PSEXESVC.exe,Sysinternal PsExec,ABC\ABCadmin,A service was installed in the system. (7045)
10-10-2021 08:14:45,RDS,Service Installation,C:\Windows\PSEXESVC.exe,Sysinternal PsExec,ABC\ABCadmin,A service was installed in the system. (7045)
10-10-2021 08:15:04,ABC-DC2,Amcache,C:\Windows\PSEXESVC.exe,Sysinternal PsExec,,a17c21b909c56d93d978014e63fb06926eaea8e7
10-10-2021 08:15:04,ABC-DC2,Service Installation,C:\Windows\PSEXESVC.exe,Sysinternal PsExec,ABC\ABCadmin,A service was installed in the system. (7045)
10-10-2021 08:15:07,DDMS2,Service Installation,C:\Windows\PSEXESVC.exe,Sysinternal PsExec,ABC\ABCadmin,A service was installed in the system. (7045)
10-10-2021 08:15:08,ABC-DATA,Service Installation,C:\Windows\PSEXESVC.exe,Sysinternal PsExec,ABC\ABCadmin,A service was installed in the system. (7045)
10-10-2021 08:15:28,ABC-DC1,User Assist,C:\share$\Workstations0.bat,Suspicious batch file,ABC\ABCadmin,
10-12-2021 19:27:01,DDMS2,User Assist,C:\ABC-pcl\InvoiceOverlayUpload.bat,Suspicious batch file,Administrator,
10-13-2021 07:03:44,ABC-data,User Assist,C:\Windows\Temp\svchost.exe,Trojan Downloader,ABC\ABCadmin,
10-13-2021 08:17:44,DDMS2,Amcache,C:\Windows\Temp\svchost.exe,Trojan Downloader,,bf2d8dddb1faf0146cba499648dba6e426623dbb
10-13-2021 08:17:44,DDMS2,User Assist,C:\Windows\Temp\svchost.exe,Trojan Downloader,ABC\ABCadmin,
10-13-2021 08:49:11,ABC-DC2,Amcache,C:\Windows\Temp\svchost.exe,Trojan Downloader,,bf2d8dddb1faf0146cba499648dba6e426623dbb
10-13-2021 09:05:09,ABC-DC2,User Assist,C:\Windows\Temp\svchost.exe,Trojan Downloader,ABC\ABCadmin,
10-13-2021 09:42:27,rds,User Assist,C:\Windows\Temp\svchost.exe,Trojan Downloader,ABC\ABCadmin,
10-13-2021 10:00:40,ABC-DC1,Amcache,C:\Users\ABCadmin\AppData\Local\Temp\1\svchost.exe,Trojan Downloader,,bf2d8dddb1faf0146cba499648dba6e426623dbb
10-13-2021 10:00:40,ABC-DC1,User Assist,C:\Users\ABCadmin\AppData\Local\Temp\1\svchost.exe,Trojan Downloader,ABC\ABCadmin,
